Country,Male Including NMSC Rate,Female Including NMSC Rate,Female Including NMSC Number,Male Excluding NMSC Rate,Male Excluding NMSC Number,Male Including NMSC Number,Female Excluding NMSC Number,Female Excluding NMSC Rate
Mongolia,227.5,145.5,"2,210",227.3,"2,717","2,719","2,206",145.2
Belarus,192.7,79.4,"9,080",191.9,"13,508","13,564","9,021",79.1
Hungary,187.9,112.2,"15,127",186.8,"17,237","17,355","15,008",111.6
Lithuania,181.6,88.7,"3,710",180.9,"4,615","4,639","3,679",88.4
Romania,179,96.1,"23,386",177.4,"32,475","32,830","23,152",95.5
Latvia,178.5,89.5,"2,712",177.1,"3,130","3,160","2,678",89
Moldova,177.5,84.7,"3,301",176.5,"4,820","4,847","3,279",84.3
Poland,172.8,104.3,"54,250",171.8,"65,245","65,742","53,737",103.8
Croatia,172,91.9,"5,725",171.2,"8,079","8,129","5,658",91.4
Turkey,168.3,75.8,"47,226",167.7,"82,146","82,446","46,953",75.5
Uruguay,168.1,101.4,"4,060",167.2,"4,888","4,920","4,045",101.3
Slovakia,166.9,95.9,"6,773",165.9,"8,339","8,393","6,704",95.3
Estonia,164.7,82.9,"1,885",163.9,"2,187","2,201","1,862",82.4
Serbia,161,101.9,"10,311",159.7,"13,436","13,570","10,210",101.3
Armenia,160.3,87,"2,617",159.5,"3,227","3,244","2,597",86.5
Russia,153,84.9,"147,557",152.3,"163,399","164,172","146,761",84.6
French Polynesia,152,94.2,185,152,296,296,185,94.2
Georgia,151.7,84.5,"3,823",148.3,"4,511","4,636","3,727",83.2
Bosnia and Herzegovina,151.2,87.9,"3,539",150.1,"5,008","5,051","3,504",87.3
Montenegro,149.7,98.8,688,148.6,840,847,681,98.2
Portugal,148.8,77.5,"14,252",148.1,"19,382","19,510","14,121",77.1
Bulgaria,148.8,88,"8,031",147.7,"10,659","10,763","7,964",87.5
Slovenia,147.3,92.6,"3,022",146.3,"3,844","3,876","2,992",92.1
South Africa,146.3,110.6,"33,894",143.6,"30,098","30,653","33,548",109.4
Samoa,144.7,113.7,97,144.7,111,111,97,113.7
Ukraine,144.4,73.7,"36,738",143.6,"47,126","47,415","36,456",73.3
North Korea,143.2,93.9,"20,404",142.8,"22,321","22,385","20,323",93.5
North Macedonia,143.1,86.2,"1,757",141.3,"2,571","2,607","1,741",85.6
Zimbabwe,142.3,150.9,"7,363",140.2,"4,320","4,376","7,279",149
New Caledonia,139.8,90.8,194,139.5,272,273,194,90.8
France,135.7,82.8,"83,691",135.1,"106,262","106,921","83,204",82.5
Cyprus,134.8,92.6,"1,263",133,"1,550","1,574","1,256",92.3
Namibia,134,103.4,"1,043",126.6,856,897,"1,017",100.5
Cuba,133.1,91.2,"11,870",131.1,"15,592","15,854","11,712",90.3
Laos,132.9,89.4,"2,671",132.2,"3,525","3,544","2,651",88.6
Vietnam,132.6,72.7,"48,799",132.2,"71,141","71,385","48,553",72.4
